model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  condition,partnerID,partner,val,
Listener,5,5,0.9,0.01,73,1,1,partner3,group1,0.493625,
Listener,5,5,0.9,0.01,74,1,1,partner3,group1,0.47675,
Listener,5,5,0.9,0.01,75,1,1,partner3,group1,0.55325,
Listener,5,5,0.9,0.01,76,1,1,partner3,group1,0.406125,
Listener,5,5,0.9,0.01,77,1,1,partner3,group1,0.549125,
Listener,5,5,0.9,0.01,78,1,1,partner3,group1,0.366625,
Listener,5,5,0.9,0.01,79,1,1,partner3,group1,0.45325,
Listener,5,5,0.9,0.01,80,1,1,partner3,group1,0.545375,
Listener,5,5,0.9,0.01,81,1,1,partner3,group1,0.488625,
Listener,5,5,0.9,0.01,82,1,1,partner3,group1,0.643,
Listener,5,5,0.9,0.01,83,1,1,partner3,group1,0.587125,
Listener,5,5,0.9,0.01,84,1,1,partner3,group1,0.4795,
Listener,5,5,0.9,0.01,85,1,1,partner3,group1,0.544375,
Listener,5,5,0.9,0.01,86,1,1,partner3,group1,0.602625,
Listener,5,5,0.9,0.01,87,1,1,partner3,group1,0.4935,
Listener,5,5,0.9,0.01,88,1,1,partner3,group1,0.467375,
Listener,5,5,0.9,0.01,89,1,1,partner3,group1,0.562,
Listener,5,5,0.9,0.01,90,1,1,partner3,group1,0.502,
Listener,5,5,0.9,0.01,91,1,1,partner3,group1,0.5155,
Listener,5,5,0.9,0.01,92,1,1,partner3,group1,0.37775,
Listener,5,5,0.9,0.01,93,1,1,partner3,group1,0.54275,
Listener,5,5,0.9,0.01,94,1,1,partner3,group1,0.481875,
Listener,5,5,0.9,0.01,95,1,1,partner3,group1,0.4575,
Listener,5,5,0.9,0.01,96,1,1,partner3,group1,0.485125,
Listener,5,5,0.9,0.01,97,1,1,partner3,group1,0.450375,
Listener,5,5,0.9,0.01,98,1,1,partner3,group1,0.552875,
